시추공명,상심도,하심도,N치,지층명,지층분류,경도,위도,표고
BH-1,0.0,2.6,22,토사,토사,196274.882,552832.431,50.74
BH-1,2.6,32.0,"4, 7, 6/30, 6/30, 8/30, 15/30, 17/30, 21/30, 50/13, 50/7, 50/6, 50/5, 50/6, 50/6, 50/5, 50/5, 50/4, 50/4, 50/4, 50/3, 50/4, 50/4, 50/4, 50/3, 50/3, 50/4, 50/3, 50/3, 50/2, 50/2, 50/3, 50/2, 50/2",풍화암,풍화암,196274.882,552832.431,50.74
BH-1,32.0,35.0,,연암,리핑암,196274.882,552832.431,50.74
BH-2,0.0,3.2,20,토사,토사,196277.58,552829.039,50.78
BH-2,3.2,10.0,22,풍화암,풍화암,196277.58,552829.039,50.78
BH-2,10.0,15.0,"2, 5/30, 5/30, 6/30, 11/30, 13/30, 17/30, 50/14, 50/8, 50/6",연암,리핑암,196277.58,552829.039,50.78
BH-3,0.0,4.5,21,토사,토사,196273.661,552845.38,51.07
BH-3,4.5,7.8,22,풍화암,풍화암,196273.661,552845.38,51.07
BH-3,7.8,15.0,"24, 4/30, 4/30, 6/30, 12/30, 50/10, 50/8, 50/5",연암,리핑암,196273.661,552845.38,51.07
