시추공명,상심도,하심도,N치,지층명,지층분류,경도,위도,표고
BH-1,0.0,28.0,"28, 16/30, 50/14, 6/30, 8/30, 11/30, 13/30, 13/30, 16/30, 17/30, 18/30, 18/30, 20/30, 21/30, 22/30, 24/30, 24/30, 25/30, 25/30, 27/30, 27/30, 30/30, 32/30, 35/30, 38/30, 42/30, 45/30, 48/30, 50/20, 50/14, 50/9, 50/8, 50/8, 50/7",토사,풍화암,209013.63,555610.504,36.9
BH-1,28.0,33.0,,풍화암,풍화암,209013.63,555610.504,36.9
BH-2,0.0,27.0,"27, 12/30, 50/18, 8/30, 8/30, 10/30, 12/30, 12/30, 15/30, 15/30, 16/30, 18/30, 20/30, 20/30, 21/30, 22/30, 24/30, 24/30, 25/30, 25/30, 26/30, 32/30, 35/30, 40/30, 42/30, 45/30, 48/30, 50/26, 50/18, 50/10, 50/9, 50/8, 50/9, 50/8",토사,풍화암,209003.249,555572.755,36.9
BH-2,27.0,32.0,,풍화암,풍화암,209003.249,555572.755,36.9
BH-3,0.0,27.0,"27, 14/30, 50/15, 7/30, 8/30, 11/30, 12/30, 14/30, 14/30, 16/30, 18/30, 18/30, 21/30, 22/30, 25/30, 25/30, 27/30, 28/30, 30/30, 30/30, 32/30, 34/30, 37/30, 42/30, 44/30, 48/30, 50/30, 50/22, 50/15, 50/10, 50/9, 50/8, 50/8, 50/8",토사,풍화암,209039.264,555561.473,36.9
BH-3,27.0,32.0,,풍화암,풍화암,209039.264,555561.473,36.9
